Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-30.247189	4.4209504	-21.695822	-38.12115	1000.0	-0.012851123	0.14265077	0.52535516	-0.5095445	20000	-6.966591e-08	8.732381	-0.007711693	-0.14288998	0.9189385	0.002337553	0.0107	79.0	59.398085594177246
1	-28.717106	5.053705	-22.993103	-42.323875	1000.0	-0.03942155	0.1301748	0.44983646	-0.5151125	40000	-9.1648104e-08	7.8664474	-0.008045265	-0.12665129	0.9184116	0.0034060432	0.01295	79.0	116.87150001525879
2	-26.39209	3.922897	-19.599985	-34.08875	1000.0	-0.065331146	0.12328983	0.39223188	-0.4932655	60000	-1.2588501e-08	6.507466	-0.007936923	-0.104044914	0.9179516	0.003081652	0.0112	79.0	174.14869284629822
3	-25.159245	5.54189	-15.43821	-32.347355	1000.0	-0.087795734	0.12146715	0.37330464	-0.54263777	80000	-1.080513e-07	5.898218	-0.0076375585	-0.09708786	0.91701394	0.0025552674	0.0122	79.0	230.77491664886475
4	-22.793514	4.210731	-14.275585	-35.073254	1000.0	-0.11035885	0.12205993	0.40778035	-0.63300085	100000	8.742809e-08	4.938836	-0.00797824	-0.07910919	0.9168068	0.0029411484	0.0127	79.0	287.0385904312134
5	-22.09127	5.8464665	-11.982972	-32.603313	1000.0	-0.13193019	0.12374903	0.3191806	-0.64793324	120000	-1.2874604e-09	4.8690248	-0.007653681	-0.07576752	0.91619885	0.0024007114	0.0101	79.0	343.9131119251251
6	-21.084799	4.8844395	-9.680014	-32.78886	1000.0	-0.15321082	0.12904721	0.3713353	-0.64271766	140000	-6.2179566e-08	4.383906	-0.008507399	-0.07575607	0.9156331	0.0033634056	0.0265	79.0	401.3088290691376
7	-18.381542	5.442467	-8.263274	-30.782757	1000.0	-0.17353725	0.13910486	0.33849818	-0.67107296	160000	-4.0340424e-08	3.5956454	-0.0069108647	-0.057364464	0.9150509	0.0023837462	0.01385	79.0	458.6573247909546
8	-18.928131	4.1422276	-10.855992	-25.928423	1000.0	-0.19563037	0.14476041	0.3700871	-0.7021124	180000	1.7309189e-08	3.5606425	-0.00838821	-0.06299567	0.9146613	0.0034537553	0.027	79.0	515.2460761070251
9	-13.749143	5.8724	-7.0508785	-25.325003	1000.0	-0.21059136	0.15626635	0.44205472	-0.8077511	200000	2.336502e-09	2.37389	-0.008866994	-0.033192635	0.9141601	0.0030528703	0.0261	79.0	571.829183101654
10	-9.932795	7.6269474	0.7220165	-26.75123	1000.0	-0.22331627	0.16484687	0.45830482	-0.85520357	220000	-3.9386748e-08	1.9900726	-0.009319205	-0.014539957	0.91367537	0.0036221088	0.02955	79.0	627.9990754127502
11	-14.223882	4.9986496	-6.544214	-20.239103	1000.0	-0.24569397	0.16740672	0.40276864	-0.84047747	240000	2.7656555e-09	2.6498566	-0.0084736375	-0.037973404	0.91307193	0.0032764229	0.0282	79.0	684.0114743709564
